职位名称,地区,薪水,工作年限,学历,能力要求,公司名字,公司标签,福利待遇,详情链接
前端开发工程师,深圳·福田区·福田中心,12-20K,1-3年,本科,",计算机/软件工程相关专业,前端开发经验,React,Vue",睿服科技,",计算机软件,不需要融资,1000-9999人",年终奖，带薪年假，节日福利，五险一金，定期体检
前端开发工程师,深圳·龙岗区·坂田,10-15K·14薪,1-3年,本科,",HTML,JavaScript,前端开发,全栈开发",酷宅科技,",智能硬件,A轮,100-499人",全勤奖，定期体检，节日福利，股票期权，带薪年假，员工旅游，绩效奖金，零食下午茶，团建聚餐，年终奖，五险一金
前端开发工程师,深圳·南山区·科技园,18-20K·16薪,3-5年,本科,",JavaScript",联通数字科技有限公司,",计算机软件,不需要融资,1000-9999人",带薪年假，免费工装，员工旅游，零食下午茶，年终奖，生日福利，定期体检，节日福利，通讯补贴，加班补助，绩效奖金，企业年金，意外险，节假日加班费，团建聚餐，补充医疗保险，保底工资，法定节假日三薪，五险一金
前端开发工程师,深圳·福田区·车公庙,15-25K,5-10年,学历不限,",前端开发,Node.js,JavaScript,CSS,React,Webpack,Gulp,GIT",晋达,",移动互联网,天使轮,0-20人",居家办公
前端开发工程师,深圳·南山区·科技园,20-35K,3-5年,本科,",前端开发,HTML",华富洋供应链,",贸易/进出口,未融资,100-499人",五险一金，加班补助，补充医疗保险，定期体检，全勤奖，年终奖，带薪年假，员工旅游，零食下午茶，包吃，节日福利
前端开发工程师,深圳·南山区·科技园,16-23K,3-5年,本科,",React,JavaScript,HTML5,计算机/软件工程相关专业,前端开发经验",中电金信,",计算机软件,B轮,10000人以上",五险一金，节日福利，补充医疗保险，定期体检
前端开发工程师,深圳·福田区·新洲,14-17K,3-5年,本科,",HTML5,Vue,Python,计算机/软件工程相关专业,运维",博彦科技,",计算机软件,已上市,10000人以上",节日福利，定期体检，年终奖，带薪年假，五险一金，免费班车
前端开发工程师,深圳·南山区·蛇口,12-18K,1-3年,本科,",前端开发,Node.js,JavaScript,CSS,HTML5,CSS3,ES6,TypeScript",UCT,",移动互联网,未融资,0-20人",年终奖，股票期权，定期体检，五险一金，补充医疗保险，带薪年假
前端开发工程师,深圳·南山区·深圳湾,20-40K·13薪,3-5年,本科,",react,javascript",天猫,",互联网,已上市,10000人以上",五险一金，员工旅游，餐补，年终奖，带薪年假，补充医疗保险，免费班车，定期体检
前端开发工程师,深圳·罗湖区·国贸,10-11K,1-3年,本科,",前端开发",禾月科技,",互联网,不需要融资,500-999人",带薪年假，定期体检，年终奖，加班补助，节日福利，餐补，员工旅游，五险一金
前端开发工程师,深圳·南山区·海岸城,20-40K,经验不限,本科,",Webpack,架构师,大数据,人工智能,移动端,Android,React,前端开发",LAZADA,",电子商务,不需要融资,10000人以上",餐补，交通补助，股票期权，免费班车，年终奖，员工旅游，节日福利，五险一金，意外险，带薪年假，团建聚餐，年底双薪，定期体检，补充医疗保险
前端开发工程师,深圳·宝安区·西乡,10-15K,1-3年,本科,",TypeScript,CSS,CSS3,Less,Sass,前端开发,小程序,React",哲盟软件,",计算机软件,未融资,100-499人",补充医疗保险，通讯补贴，五险一金
前端开发工程师,深圳·南山区·科技园,10-15K,1-3年,大专,",前端开发",美玉合创,",计算机软件,C轮,100-499人",年终奖，交通补助，五险一金，带薪年假，零食下午茶，节日福利，股票期权
前端开发工程师,深圳,11-18K,3-5年,本科,",前端开发,JavaScript,TypeScript,ES6,Web端,小程序,Vue,HTML5",广汇通,",通信/网络设备,未融资,20-99人",带薪年假，加班补助，年终奖，全勤奖，股票期权，五险一金
前端开发工程师,深圳·福田区·会展中心,8-13K·13薪,1-3年,大专,",GIT,移动端,Vue,Web端,前端开发",成高成智慧产业集团,",互联网,不需要融资,100-499人",定期体检，员工旅游，加班补助，年终奖，零食下午茶，带薪年假，节日福利，全勤奖，五险一金，股票期权
前端开发工程师,深圳·龙华区·龙华,10-15K,5-10年,本科,",不接受居家办公,JavaScript,Vue,HTML5,前端开发经验",麦凯得里,",计算机软件,0-20人",
前端开发工程师,深圳·南山区·科技园,15-20K,3-5年,大专,",JavaScript,HTML5,CSS",北京华夏圆度科技,",学术/科研,未融资,20-99人",节日福利，带薪年假，五险一金，有无线网，零食下午茶，团建聚餐，员工旅游，生日福利
前端开发工程师,深圳·南山区·科技园,11-12K,1-3年,本科,",HTML5,CSS,Vue,计算机/软件工程相关专业,前端开发经验,架构师经验",浙江骑家佳科技,",其他服务业,20-99人",
前端开发工程师,深圳·龙华区·龙华,10-15K,3-5年,大专,",前端开发,Node.js,HTML,CSS,JavaScript,CSS3,HTML5,Vue",丰安兴科技有限公司,",计算机软件,20-99人",
前端开发工程师,深圳·南山区·深圳湾,15-20K,1-3年,本科,",计算机/软件工程相关专业,前端开发经验,跨端,toB,前端",亿蝶品牌,",其他服务业,未融资,20-99人",五险一金，全勤奖，年终奖，带薪年假，节日福利
前端开发工程师,深圳·龙岗区·布吉,7-12K,经验不限,本科,",JavaScript,React,Vue,计算机/软件工程相关专业,前端开发经验,不限,智慧医疗,数据可视化",裕辰医疗科技,",医疗设备/器械,不需要融资,0-20人",加班补助，节日福利，年终奖，绩效奖金，底薪加提成，生日福利，带薪年假，五险一金，保底工资，节假日加班费
前端开发工程师,深圳·南山区·科技园,30-50K·16薪,3-5年,本科,",前端开发,CSS,JavaScript,Web端,数据结构,Vue",快手,",社交网络,已上市,10000人以上",五险一金，带薪年假，定期体检，年终奖，节日福利，补充医疗保险，股票期权
前端开发工程师,深圳·南山区·西丽,18-35K·14薪,经验不限,本科,",前端开发,TypeScript,React,Three.js,Web端,SaaS,Vue.js,全栈开发",小库科技,",计算机软件,A轮,100-499人",股票期权，交通补助，年终奖，定期体检，有无线网，包三餐，意外险，零食下午茶，团建聚餐，节日福利，带薪年假，五险一金
前端开发工程师,深圳·福田区·华强南,7-9K,1年以内,本科,",前端开发",深圳市腾盟技术有限,",互联网,未融资,20-99人",五险一金，年终奖，加班补助，餐补，节日福利，带薪年假，交通补助，定期体检
前端开发工程师,深圳·南山区·科技园,11-17K,3-5年,本科,",前端开发,React,Vue,Web端,小程序,移动端,PC端",西杰信息,",计算机服务,未融资,20-99人",加班补助，年终奖，零食下午茶，带薪年假，住房补贴，节日福利，餐补，交通补助，五险一金
前端开发工程师,深圳·南山区·西丽,10-15K·13薪,3-5年,本科,",前端开发,Node.js,HTML,CSS,JavaScript,CSS3,HTML5,Less",深圳市迈科思腾,",计算机软件,不需要融资,20-99人",五险一金，节日福利，员工旅游，带薪年假，年终奖，定期体检，零食下午茶
前端开发工程师,深圳·福田区·景田,10-13K,3-5年,本科,",JavaScript,HTML5,CSS",深圳网新新思,",计算机软件,不需要融资,1000-9999人",五险一金，年终奖，定期体检，加班补助，带薪年假，节日福利，零食下午茶，餐补，生日福利
前端开发工程师,深圳·南山区·前海,6-8K,3-5年,大专,",前端开发,JavaScript,CSS,HTML,React,GIT,Vue,移动端",至尊航空,",交通/运输,天使轮,100-499人",五险一金，节日福利，全勤奖，员工旅游，带薪年假
前端开发工程师,深圳·宝安区·西乡,14-25K·13薪,5-10年,大专,",JavaScript,HTML5,Vue,计算机/软件工程相关专业,前端开发经验,架构师经验",英肯智能,",智能硬件,不需要融资,20-99人",带薪年假，五险一金，股票期权，员工旅游，交通补助，年终奖
前端开发工程师,深圳·龙岗区·平湖,9-14K,1-3年,学历不限,",前端开发",深圳市尧天建筑安装,",工程施工,不需要融资,20-99人",五险一金，年终奖，餐补
前端开发工程师,深圳·福田区·福田中心,12-20K,1-3年,本科,",计算机/软件工程相关专业,前端开发经验,React,Vue",睿服科技,",计算机软件,不需要融资,1000-9999人",年终奖，带薪年假，节日福利，五险一金，定期体检
前端开发工程师,深圳·龙岗区·坂田,10-15K·14薪,1-3年,本科,",HTML,JavaScript,前端开发,全栈开发",酷宅科技,",智能硬件,A轮,100-499人",全勤奖，定期体检，节日福利，股票期权，带薪年假，员工旅游，绩效奖金，零食下午茶，团建聚餐，年终奖，五险一金
前端开发工程师,深圳·南山区·科技园,18-20K·16薪,3-5年,本科,",JavaScript",联通数字科技有限公司,",计算机软件,不需要融资,1000-9999人",带薪年假，免费工装，员工旅游，零食下午茶，年终奖，生日福利，定期体检，节日福利，通讯补贴，加班补助，绩效奖金，企业年金，意外险，节假日加班费，团建聚餐，补充医疗保险，保底工资，法定节假日三薪，五险一金
前端开发工程师,深圳·福田区·车公庙,15-25K,5-10年,学历不限,",前端开发,Node.js,JavaScript,CSS,React,Webpack,Gulp,GIT",晋达,",移动互联网,天使轮,0-20人",居家办公
前端开发工程师,深圳·南山区·科技园,20-35K,3-5年,本科,",前端开发,HTML",华富洋供应链,",贸易/进出口,未融资,100-499人",五险一金，加班补助，补充医疗保险，定期体检，全勤奖，年终奖，带薪年假，员工旅游，零食下午茶，包吃，节日福利
前端开发工程师,深圳·南山区·科技园,16-23K,3-5年,本科,",React,JavaScript,HTML5,计算机/软件工程相关专业,前端开发经验",中电金信,",计算机软件,B轮,10000人以上",五险一金，节日福利，补充医疗保险，定期体检
前端开发工程师,深圳·福田区·新洲,14-17K,3-5年,本科,",HTML5,Vue,Python,计算机/软件工程相关专业,运维",博彦科技,",计算机软件,已上市,10000人以上",节日福利，定期体检，年终奖，带薪年假，五险一金，免费班车
前端开发工程师,深圳·南山区·蛇口,12-18K,1-3年,本科,",前端开发,Node.js,JavaScript,CSS,HTML5,CSS3,ES6,TypeScript",UCT,",移动互联网,未融资,0-20人",年终奖，股票期权，定期体检，五险一金，补充医疗保险，带薪年假
前端开发工程师,深圳·南山区·深圳湾,20-40K·13薪,3-5年,本科,",react,javascript",天猫,",互联网,已上市,10000人以上",五险一金，员工旅游，餐补，年终奖，带薪年假，补充医疗保险，免费班车，定期体检
前端开发工程师,深圳·罗湖区·国贸,10-11K,1-3年,本科,",前端开发",禾月科技,",互联网,不需要融资,500-999人",带薪年假，定期体检，年终奖，加班补助，节日福利，餐补，员工旅游，五险一金
